a,b,c,d,e,f,g,result
154,3.9091,0.5195,1.1753,0.0260,0.6429,0.0260,0.5130
17,0.4706,0.1765,0.2941,0.0000,0.0000,0.0588,0.5359
27,2.0741,0.2222,0.4444,0.0000,0.1481,0.0000,0.5658
121,3.7934,0.4959,1.1653,0.0165,0.5455,0.0413,0.4575
5,0.8000,0.2000,0.0000,0.0000,0.0000,0.0000,0.3092
21,0.7143,0.0000,0.0952,0.0000,0.0476,0.0000,0.4481
7,2.8571,0.2857,0.1429,0.0000,0.0000,0.0000,0.6358
93,3.1613,0.4194,0.7849,0.0108,0.4086,0.0645,0.4545
5,0.6000,0.4000,0.0000,0.0000,0.0000,0.0000,0.4444
10,2.9000,0.3000,0.9000,0.0000,0.4000,0.0000,0.5658
79,3.0506,0.2911,0.7595,0.0000,0.3544,0.0633,0.5033
148,3.8649,0.5676,1.0811,0.0405,0.4122,0.0338,0.3092
126,3.7063,0.6190,1.1825,0.0556,0.4762,0.0476,0.4444
66,3.2727,0.4848,0.8939,0.0152,0.2273,0.0000,0.4444
71,2.8732,0.5352,1.0141,0.0282,0.3944,0.0423,0.5260
145,3.7586,0.6828,1.3172,0.1517,0.8966,0.0276,0.4444
6,0.8333,0.0000,0.3333,0.0000,0.3333,0.0000,0.5229
10,0.9000,0.2000,0.6000,0.0000,0.0000,0.0000,0.5789
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4481
6,1.3333,0.0000,0.1667,0.0000,0.0000,0.0000,0.3092
2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5130
9,2.8889,0.2222,0.4444,0.0000,0.0000,0.0000,0.5033
117,4.0684,0.6581,1.2479,0.0684,0.6068,0.0855,0.4416
67,1.4925,0.2985,0.5522,0.0000,0.2090,0.0149,0.5789
44,3.4545,0.2727,0.8864,0.0227,0.3636,0.0000,0.4416
91,3.3407,0.4505,0.9011,0.0549,0.2418,0.0110,0.4444
120,4.1833,0.7417,1.3833,0.0917,0.4000,0.1750,0.5658
39,0.5128,0.0513,0.1282,0.0000,0.0513,0.0000,0.3092
4,2.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.3092
149,3.2282,0.3490,0.7785,0.0201,0.4765,0.1074,0.5789
42,1.9048,0.2143,0.5000,0.0238,0.4286,0.0238,0.5359
4,1.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.5789
68,4.1029,0.6618,1.0735,0.0000,0.3382,0.1618,0.4575
8,2.2500,0.3750,0.3750,0.0000,0.0000,0.0000,0.5260
126,3.4683,0.5794,1.0238,0.1587,0.5397,0.0476,0.4481
34,1.6176,0.1471,0.4412,0.0000,0.1471,0.0000,0.4575
72,3.4167,0.4028,0.9306,0.0000,0.2639,0.0139,0.5359
3,3.6667,0.0000,0.6667,0.0000,0.0000,0.0000,0.3092
30,1.7667,0.0667,0.1000,0.0000,0.1667,0.0000,0.5359
104,3.0385,0.3462,0.8462,0.0192,0.4808,0.0288,0.4575
2,1.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.5789
22,3.2273,0.4091,1.0000,0.0000,0.1818,0.0455,0.5033
70,2.8143,0.3714,0.7429,0.0429,0.2571,0.0286,0.4416
79,2.7215,0.3038,0.8101,0.0000,0.3797,0.0127,0.6209
4,1.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.5229
150,4.0067,0.7733,1.3400,0.1200,0.7533,0.1800,0.6358
47,2.4255,0.2979,0.7872,0.0638,0.4043,0.0000,0.5658
21,2.1905,0.2381,0.6667,0.0000,0.4762,0.0000,0.5130
34,1.2941,0.1176,0.1765,0.0000,0.0882,0.0000,0.4575
114,3.1491,0.6491,1.0263,0.0702,0.4561,0.1228,0.6209
12,0.3333,0.0833,0.0833,0.0000,0.0000,0.0000,0.5359
32,2.0938,0.1250,0.3750,0.0000,0.1563,0.0000,0.5789
29,2.1379,0.1724,0.1724,0.0000,0.0690,0.0000,0.5658
11,0.6364,0.0000,0.1818,0.0000,0.0909,0.0000,0.4444
26,0.5385,0.0385,0.1154,0.0000,0.0769,0.0000,0.6358
7,0.5714,0.2857,0.0000,0.0000,0.0000,0.1429,0.4444
76,3.0921,0.5000,0.8816,0.0921,0.3553,0.0263,0.4416
51,2.6863,0.3922,0.6863,0.0000,0.3922,0.0196,0.4416
34,2.8235,0.3529,0.7059,0.0294,0.4118,0.0000,0.4444
141,3.6809,0.5177,1.1277,0.0709,0.5390,0.0284,0.4416
25,2.6000,0.2800,0.6000,0.0000,0.1600,0.0000,0.5658
9,3.5556,0.2222,0.3333,0.0000,0.2222,0.0000,0.3092
45,1.4444,0.0667,0.1778,0.0000,0.0667,0.0000,0.5789
4,0.7500,0.2500,0.0000,0.0000,0.0000,0.0000,0.6209
93,3.8495,0.3871,1.1613,0.0538,0.6129,0.0323,0.5033
29,2.5517,0.2759,0.4483,0.0000,0.1724,0.0000,0.5033
110,3.5545,0.5636,1.2273,0.0727,0.5727,0.0636,0.5789
6,0.5000,0.0000,0.1667,0.0000,0.0000,0.0000,0.5033
114,3.4912,0.7368,0.9737,0.0000,0.3509,0.0965,0.5260
87,3.1379,0.3218,0.9425,0.0230,0.3793,0.0460,0.5229
45,1.8444,0.2000,0.5111,0.0000,0.2889,0.0222,0.4444
5,1.2000,0.0000,0.6000,0.0000,0.0000,0.0000,0.6358
67,3.3582,0.5075,0.9552,0.1194,0.6418,0.0299,0.5359
132,3.7500,0.6515,1.3106,0.1364,0.7348,0.0758,0.4444
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5260
144,3.8264,0.6319,1.0972,0.0069,0.4583,0.0972,0.6358
92,3.6957,0.5326,0.9783,0.0543,0.3913,0.0652,0.4575
8,2.3750,0.5000,0.3750,0.1250,0.2500,0.0000,0.3092
100,3.0000,0.6000,0.9700,0.1200,0.5900,0.0600,0.6358
46,1.9130,0.1522,0.3913,0.0217,0.3261,0.0000,0.5789
56,1.6429,0.2143,0.4643,0.0179,0.2321,0.0179,0.5130
46,2.0652,0.1957,0.6522,0.0000,0.1739,0.0435,0.5658
117,3.4017,0.5214,0.9829,0.2051,0.5726,0.0085,0.4416
105,3.0476,0.4952,0.9810,0.0476,0.4286,0.0286,0.4444
109,3.4862,0.5229,0.9174,0.0459,0.3578,0.1376,0.4416
150,3.8200,0.6467,1.5000,0.0867,0.8933,0.0400,0.5260
15,0.4000,0.2000,0.0667,0.0000,0.0000,0.0000,0.5789
25,1.1200,0.0800,0.3200,0.0000,0.3600,0.0000,0.4545
93,2.8280,0.4624,0.8602,0.0860,0.5161,0.0323,0.4444
10,3.9000,0.2000,1.5000,0.0000,0.8000,0.1000,0.3092
45,2.6444,0.3111,0.4444,0.0000,0.1333,0.0000,0.3092
44,2.6136,0.2500,0.5227,0.0000,0.1364,0.0000,0.4444
60,3.6500,0.5167,1.0500,0.0667,0.4667,0.0500,0.4575
37,3.5135,0.3243,0.8378,0.0000,0.3784,0.0541,0.4545
3,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.4481
9,2.3333,0.2222,0.6667,0.0000,0.3333,0.0000,0.4575
39,2.2051,0.2821,0.5385,0.0256,0.4359,0.0000,0.4444
65,3.5692,0.3692,1.0000,0.0154,0.3077,0.0154,0.5229
38,1.2632,0.0789,0.2895,0.0000,0.0526,0.0000,0.5260
13,4.4615,0.7692,0.9231,0.0000,0.1538,0.0769,0.5033
27,3.2593,0.4815,0.8889,0.0370,0.2963,0.0000,0.5789
5,4.2000,0.4000,1.2000,0.2000,0.4000,0.0000,0.4575
127,3.4803,0.4882,0.9213,0.0472,0.4331,0.0945,0.5130
138,3.6522,0.9638,1.4710,0.2826,1.0362,0.0362,0.5033
46,1.7174,0.1087,0.5217,0.0000,0.1739,0.0000,0.4481
2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444
33,0.6061,0.0606,0.0909,0.0000,0.0606,0.0000,0.4444
124,3.5161,0.3710,1.0000,0.0403,0.4355,0.0242,0.4444
3,2.3333,0.0000,1.0000,0.0000,0.0000,0.0000,0.5229
26,0.4231,0.0385,0.0385,0.0000,0.0000,0.0000,0.5658
6,3.6667,0.3333,0.5000,0.0000,0.3333,0.0000,0.5789
7,1.1429,0.1429,0.5714,0.0000,0.1429,0.0000,0.4444
112,3.6696,0.4554,1.0446,0.0804,0.5268,0.0714,0.5658
142,3.8028,0.7254,1.2958,0.1056,0.5352,0.0563,0.5359
18,0.7222,0.0000,0.1667,0.0000,0.0000,0.0000,0.4416
58,3.8966,0.5172,1.1724,0.0000,0.6379,0.0345,0.4416
138,4.0362,0.7899,1.1957,0.0290,0.3043,0.1014,0.4545
15,1.2667,0.1333,0.3333,0.0667,0.2667,0.0667,0.6358
15,4.2667,0.6000,1.2667,0.0000,0.3333,0.0000,0.3092
76,2.2368,0.3947,0.6316,0.0658,0.2237,0.0789,0.4481
24,0.7083,0.0833,0.0417,0.0000,0.0000,0.0000,0.4481
123,3.5041,0.5122,1.0407,0.0163,0.3496,0.0569,0.4444
6,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5260
36,2.6944,0.3333,1.1667,0.0556,0.5556,0.0000,0.6358
50,2.9600,0.3600,0.7000,0.0000,0.3000,0.0200,0.5260
28,1.3929,0.0714,0.2143,0.0000,0.0714,0.0000,0.4416
46,1.7391,0.0435,0.2826,0.0000,0.0652,0.0217,0.4481
112,3.3571,0.5804,1.0536,0.0714,0.5893,0.0625,0.6358
7,0.8571,0.2857,0.2857,0.0000,0.0000,0.0000,0.3092
152,3.3487,0.5395,0.9342,0.0395,0.5461,0.0724,0.5130
24,0.5000,0.0417,0.0833,0.0000,0.0000,0.0000,0.4575
14,4.0000,0.4286,0.7143,0.0000,0.2143,0.0000,0.5130
46,2.0000,0.2391,0.5217,0.0217,0.3696,0.0000,0.4545
31,2.5161,0.2581,0.4839,0.0645,0.4194,0.0000,0.4416
3,0.6667,0.0000,0.3333,0.0000,0.0000,0.0000,0.4416
30,0.8333,0.0667,0.2000,0.0000,0.0333,0.0000,0.4416
5,1.0000,0.2000,0.4000,0.0000,0.2000,0.0000,0.5789
6,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6358
147,3.9864,0.5918,1.2313,0.1361,0.6735,0.0340,0.5658
13,0.9231,0.1538,0.3077,0.0000,0.0769,0.0000,0.5130
1,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.4416
11,3.7273,0.4545,1.0000,0.0000,0.1818,0.0000,0.4575
2,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3092
70,2.0143,0.2286,0.6143,0.0143,0.1429,0.0000,0.4444
3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.5229
38,2.2368,0.3158,0.7368,0.0000,0.3158,0.0789,0.4545
40,1.1000,0.1750,0.2250,0.0000,0.1000,0.0000,0.4444
45,2.4000,0.2889,0.6000,0.0000,0.2444,0.0667,0.4545
12,0.1667,0.0833,0.0000,0.0000,0.0000,0.0000,0.5658
28,3.9286,0.5000,0.8214,0.0000,0.1429,0.0000,0.4481
7,0.1429,0.1429,0.0000,0.0000,0.0000,0.0000,0.6209
40,1.7750,0.2250,0.3500,0.0000,0.1750,0.0000,0.6209
37,2.3784,0.1892,0.7297,0.0270,0.1892,0.0270,0.5229
138,4.1159,0.6159,1.4638,0.0217,0.5580,0.0145,0.5789
97,3.6701,0.6289,1.0000,0.0206,0.5258,0.0515,0.5359
65,4.4923,0.7231,1.4000,0.0769,0.4308,0.0154,0.4444
77,2.9870,0.5584,0.9610,0.0519,0.5455,0.0260,0.4545
84,3.0357,0.2619,0.6786,0.0000,0.2262,0.0238,0.3092
56,1.5000,0.2500,0.4107,0.0000,0.1250,0.0179,0.6358
18,2.7778,0.3333,0.5556,0.0000,0.3333,0.0000,0.5260
4,2.0000,0.2500,0.5000,0.0000,0.2500,0.0000,0.4545
104,3.4231,0.4135,0.9808,0.0385,0.3173,0.0481,0.5658
51,2.5686,0.3137,0.6078,0.0000,0.2549,0.0392,0.4444
6,3.3333,0.1667,0.5000,0.0000,0.3333,0.0000,0.4575
10,1.5000,0.0000,0.2000,0.0000,0.0000,0.0000,0.3092
8,1.8750,0.1250,0.0000,0.0000,0.3750,0.0000,0.4481
37,2.7568,0.1892,0.7027,0.0541,0.2973,0.0000,0.5229
81,2.9383,0.3827,0.6420,0.0123,0.1975,0.0247,0.4545
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6358
43,2.2558,0.1395,0.4186,0.0000,0.1628,0.0000,0.5130
8,0.3750,0.1250,0.1250,0.0000,0.1250,0.0000,0.5130
21,2.1429,0.1429,0.2857,0.0000,0.1429,0.0000,0.5033
2,1.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5130
7,0.5714,0.1429,0.2857,0.0000,0.1429,0.0000,0.5130
60,3.0667,0.4500,1.0500,0.0333,0.3333,0.1000,0.4575
99,2.8081,0.4646,0.8485,0.0505,0.4747,0.0808,0.5260
75,3.5467,0.4933,0.8267,0.0000,0.3067,0.0800,0.4416
55,0.3455,0.0545,0.0909,0.0000,0.0727,0.0182,0.6358
2,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4481
26,0.8462,0.1154,0.1154,0.0000,0.0769,0.0000,0.4575
103,3.5922,0.3592,0.9612,0.0097,0.3883,0.0291,0.4575
10,0.9000,0.2000,0.4000,0.0000,0.1000,0.0000,0.6358
36,1.1944,0.1111,0.2222,0.0000,0.1111,0.0000,0.5229
12,1.3333,0.2500,0.3333,0.0000,0.2500,0.0000,0.5229
37,3.3784,0.2703,0.9459,0.0000,0.2973,0.0270,0.4416
1,5.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.4545
2,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6358
2,3.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.4444
59,2.6271,0.3220,0.9661,0.0000,0.4068,0.0169,0.6209
154,3.8117,0.7013,1.0974,0.0844,0.5844,0.0325,0.5359
5,3.0000,0.2000,0.4000,0.0000,0.0000,0.0000,0.5658
12,1.7500,0.0833,0.2500,0.0000,0.0000,0.0000,0.6358
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575
122,3.1557,0.6230,0.9016,0.0246,0.3033,0.1230,0.6358
118,3.1610,0.5932,0.9915,0.0508,0.3644,0.0593,0.4545
16,1.3125,0.0000,0.1875,0.0000,0.0000,0.0000,0.5658
35,2.7714,0.2857,0.4857,0.0286,0.2000,0.0000,0.6209
7,1.8571,0.5714,0.7143,0.0000,0.1429,0.1429,0.4481
9,4.2222,0.2222,0.7778,0.0000,0.2222,0.0000,0.4416
11,1.2727,0.0909,0.0000,0.0000,0.0000,0.0000,0.4444
156,4.0000,0.6474,1.1603,0.2115,0.8846,0.0833,0.4481
135,3.8222,0.6074,1.2519,0.1556,0.8222,0.0370,0.5658
1,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.4444
22,2.2727,0.4545,0.6364,0.0000,0.2727,0.0455,0.4416
124,3.8226,0.6290,1.2177,0.0806,0.6532,0.0887,0.5789
24,3.5833,0.4167,1.0000,0.0833,0.3750,0.0000,0.4416
32,2.2188,0.1563,0.4063,0.0000,0.0313,0.0313,0.4545
5,1.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4416
52,1.7692,0.1346,0.3462,0.0000,0.2500,0.0385,0.4444
97,3.4639,0.4639,0.8660,0.0000,0.1856,0.0206,0.4444
10,1.9000,0.1000,0.2000,0.0000,0.0000,0.1000,0.6358
2,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5359
75,2.7867,0.4000,0.9200,0.0800,0.5600,0.0400,0.4444
2,4.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.5658
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5260
142,3.8521,0.7465,1.1479,0.0423,0.5423,0.1338,0.6209
44,1.6591,0.0909,0.2955,0.0000,0.1818,0.0000,0.6209
153,3.9542,0.8824,1.1830,0.0131,0.3268,0.2810,0.5130
78,3.1154,0.4231,0.9744,0.0128,0.3333,0.0000,0.5033
9,3.8889,0.5556,1.4444,0.0000,0.3333,0.1111,0.4416
106,3.3774,0.4811,0.9151,0.1038,0.5094,0.0283,0.4545
4,2.0000,0.2500,0.5000,0.0000,0.0000,0.0000,0.6358
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5033
3,2.0000,0.3333,0.3333,0.0000,0.0000,0.0000,0.5229
1,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5033
33,1.5455,0.1515,0.3333,0.0000,0.0909,0.0000,0.5658
106,3.3491,0.4434,0.9528,0.0472,0.4245,0.0755,0.4575
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3092
60,1.2500,0.2500,0.3333,0.0000,0.0667,0.0333,0.5260
17,3.7647,0.4118,0.8235,0.0000,0.4118,0.0000,0.6209
51,2.8824,0.3137,0.8627,0.0000,0.2745,0.0196,0.5229
1,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.4481
21,0.3810,0.0000,0.0476,0.0000,0.0476,0.0000,0.4444
17,1.2941,0.1176,0.2353,0.0000,0.1765,0.0000,0.4416
94,3.3723,0.3936,0.9362,0.0319,0.3404,0.0000,0.5033
17,0.7059,0.0588,0.1765,0.0000,0.0000,0.0000,0.6358
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575
11,1.6364,0.1818,0.5455,0.0000,0.0909,0.0000,0.6209
